Actual,Predicted
['Buddha clap'],['Swipe']
['Buddha clap'],['Pushback']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],[None]
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Crank'],['Swipe']
['Crank'],['Swipe']
['Crank'],['Pushback']
['Crank'],[None]
['Crank'],['Buddha clap']
['Crank'],['Buddha clap']
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],[None]
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Buddha clap']
['Crank'],['Buddha clap']
['Crank'],['Buddha clap']
['Crank'],['Buddha clap']
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],['Buddha clap']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],[None]
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
['Crank'],['Pushback']
