-2.06,0.92,0.58,-148.52,249.99,-6.71
-2.19,1.11,0.97,-38.64,249.99,7.01
-2.31,1.46,1.29,-19.96,249.99,32.7
-2.33,1.34,1.2,-45.13,162.82,55.02
-2.01,1.17,0.94,-59.2,21.45,52.12
-1.66,1.1,0.7,-69.14,-57.72,39.1
-1.27,1.01,0.5,-75.49,-88.44,23.11
-0.96,0.92,0.35,-74.13,-110.97,1.4
-0.77,0.95,0.23,-66.03,-134.85,-18.88
-0.59,1.04,0.21,-70.88,-152.71,-49.51
-0.62,1.19,0.17,-93.22,-166.62,-86.56
-0.51,1.09,0.03,-114.73,-202.79,-105.47
-0.47,1.02,-0.07,-100.72,-239.8,-127.86
-0.45,1.08,-0.05,-88.4,-250,-145.02
-0.42,0.94,-0.02,-75.13,-250,-152.65
-0.45,0.79,-0.03,-38.57,-250,-160.3
-0.43,0.71,0,6.47,-250,-159.81
-0.5,0.69,0.01,46.29,-250,-143.39
-0.56,0.77,-0.06,74.53,-250,-104.48
-0.48,0.6,-0.29,116.06,-250,-45.81
-0.17,0.35,-0.57,244.38,-250,50.03
-0.27,0.49,-0.8,249.99,-250,119.64
-0.26,0.47,-1.1,249.99,-250,177.29
-0.04,0.39,-1.31,249.99,-250,206.91
0.03,0,-1.45,249.99,-250,226.34
-0.4,0.07,-1.57,249.99,-250,229.26
-0.7,0.23,-1.74,249.99,-250,242.03
-0.51,0.08,-1.91,249.99,-250,219.4
-0.18,-0.06,-2.06,249.99,-250,135.97
-0.33,0.3,-1.9,212.81,-190.25,20.61
-0.99,-0.04,-1.79,50.48,9.21,-101.75
-1.02,-0.15,-1.71,10.26,81.2,-151.59
-1.18,-0.1,-1.62,-5.87,118.14,-162.59
-1.06,0.11,-1.47,-40.4,147.12,-169.23
-0.97,0.24,-1.32,-84.41,206.14,-201.44
-1.14,0.28,-1.15,-103.42,249.99,-250
-1.25,0.34,-1.04,-98.45,249.99,-250
-1.25,0.57,-0.9,-109.13,249.99,-250
-1.37,0.62,-0.82,-139.9,249.99,-250
-1.44,0.61,-0.75,-159.61,249.99,-250
-1.41,1.02,-0.57,-175.54,249.99,-250
-1.24,1.4,-0.45,-237.46,249.99,-250
-1.25,1.42,-0.32,-250,249.99,-250
-1.44,1.51,-0.23,-250,249.99,-250
-1.56,1.42,-0.06,-250,249.99,-145.32
-1.52,1.15,0.18,-250,249.99,-33.62
-1.68,0.51,0.55,-250,249.99,-21.32
-1.76,-0.08,1.03,-250,249.99,-135.97
-1.81,-0.09,1.29,-122.61,249.99,-156.77
-1.99,0.15,1.39,-29.48,249.99,-108.67
-1.95,0.45,1.3,13.31,136.04,-69.32
-1.9,0.74,1.04,10.35,-0.89,-44.99
-1.68,0.87,0.77,-11.44,-114.45,-41.35
-1.3,0.69,0.5,-5.5,-177.17,-38.99
-1.03,0.73,0.32,18.64,-186.66,-44.95
-0.89,0.86,0.24,35.52,-175.45,-49.93
-0.84,0.9,0.22,48.08,-160.97,-66.18
-0.76,0.92,0.19,65.04,-155.36,-78.85
-0.78,0.98,0.15,85.24,-159.58,-89.86
-0.71,1.02,0.17,91.53,-177.51,-93.96
-0.64,0.92,0.12,100.74,-207.71,-79.06
-0.65,0.94,0.02,124.52,-250,-55.45
-0.57,0.93,-0.11,146.47,-250,-9.72
-0.56,0.93,-0.24,163.84,-250,27.41
-0.53,1.07,-0.31,153.35,-250,54.41
-0.49,1.06,-0.38,119.29,-250,72.76
-0.35,0.99,-0.49,97.18,-250,86.22
-0.07,0.51,-0.72,129.96,-250,98.56
-0.05,0.61,-0.72,191.72,-250,129.04
-0.14,0.67,-0.87,218.58,-250,163.39
-0.31,0.54,-1.05,235.34,-250,170.46
-0.19,0.34,-1.18,249.99,-250,153.43
-0.17,0.51,-1.24,249.99,-250,129.14
-0.09,0.7,-1.26,247.29,-250,150.19
0.01,0.45,-1.42,191.64,-250,101.73
0.12,0.37,-1.42,185.89,-172.25,37.94
-0.26,0.43,-1.27,167.99,-62.45,-7.93
-0.61,0.5,-1.25,108.15,-42.76,-10.11
-0.54,0.36,-1.31,56.68,-38.41,-21.15
-0.44,0.26,-1.37,59.95,3.19,-58.66
-0.48,0.3,-1.32,74.86,62.74,-100.82
-0.54,0.43,-1.24,39.54,121.83,-158.91
-0.57,0.36,-1.24,3.65,172.37,-194.37
-0.64,0.31,-1.19,0.57,234.99,-225.98
-0.85,0.45,-1.11,-20.32,249.99,-224.61
-0.91,0.6,-1.01,-113.29,249.99,-234.5
-0.96,0.57,-1.02,-127.67,249.99,-250
-1.18,0.77,-0.92,-122.42,249.99,-250
-0.97,1.14,-0.81,-155.74,249.99,-250
-1.04,1.32,-0.64,-233.72,249.99,-250
-1.14,1.07,-0.5,-250,249.99,-250
-1.29,0.95,-0.36,-250,249.99,-250
-1.61,1.31,0.09,-250,249.99,-250
-1.61,0.59,0.19,-250,249.99,-108.41
-1.66,0.14,0.65,-245.14,249.99,-59.21
-1.83,0.43,1.01,-60.08,249.99,-5.04
-1.94,0.8,1.2,19.08,146.89,10.94
-1.77,1,1.1,4.81,31.29,10.57
-1.51,0.96,0.89,-27.66,-58.9,3.99
-1.18,0.85,0.67,-27.57,-116.63,-8.26
-1,0.88,0.51,-8.44,-154.53,-13.17
-0.83,0.96,0.36,8.71,-169.78,-8.69
-0.6,0.96,0.19,15.85,-137.18,4.05
-0.62,1,0.14,44.56,-56.84,13.92
-0.78,1.26,0.18,73.06,-17.42,34.98
-0.85,1.44,0.11,72.07,-67.63,70.93
-0.7,1.36,-0.06,67.13,-163.08,114.51
-0.52,1.24,-0.27,66.81,-250,153.4
-0.26,1.13,-0.47,63.33,-250,186.22
-0.1,0.96,-0.55,59.71,-250,208.62
-0.03,0.76,-0.54,73.91,-250,225.4
0.04,0.55,-0.53,99.4,-250,243.64
0.08,0.34,-0.56,116.81,-250,249.99
0.09,0.34,-0.66,113.05,-250,249.99
0.19,0.15,-0.78,90.3,-250,249.99
0.25,-0.18,-0.93,84.85,-250,249.99
0.18,-0.29,-1.04,127.53,-250,249.99
-0.01,-0.3,-1.11,158.77,-250,249.99
0,-0.3,-1.16,165.34,-250,249.99
0.39,-0.32,-1.28,172.2,-250,249.99
0.54,-0.07,-1.26,170.55,-250,235.13
0.25,0.03,-1.18,82.12,-214.9,201.24
-0.35,-0.24,-1.25,22.64,-164.94,122.54
-0.43,-0.39,-1.29,15.4,-150.76,65.96
-0.72,-0.22,-1.31,13.41,-131.51,9.51
-0.95,-0.22,-1.4,4.23,-125.94,-57.33
-0.86,-0.2,-1.47,18.41,-101.64,-124.66
-0.95,0.16,-1.31,-7.07,-40.63,-158.29
-1.05,0.28,-1.25,-75.36,9.38,-156.49
-0.98,0.26,-1.21,-123.84,68.14,-139.58
-0.98,0.31,-1.11,-150.89,130.29,-138.21
-0.97,0.3,-1.04,-170.03,182.17,-154.2
-0.92,0.24,-0.99,-170.3,232.22,-186.04
-0.89,0.32,-0.87,-175.68,249.99,-213.81
-0.94,0.38,-0.81,-203.23,249.99,-240.68
-0.95,0.42,-0.79,-234.4,249.99,-250
-1.2,0.46,-0.7,-248.21,249.99,-250
-1.39,0.52,-0.63,-250,249.99,-250
-1.22,0.66,-0.53,-250,249.99,-217.06
-1.16,1.01,-0.36,-250,249.99,-227.93
-0.83,1.41,-0.15,-250,249.99,-250
-0.72,1.27,-0.1,-250,249.99,-249.65
-1.02,1.17,0.01,-250,249.99,-137.12
-1.63,0.77,-0.01,-250,249.99,4.38
-1.97,-0.22,0.43,-250,249.99,-7.16
-2.06,0.53,1.16,-55.69,249.99,-34.84
-1.98,0.76,1.48,26.27,249.99,-23.06
-1.8,1.01,1.49,-6.88,222.26,-6.04
-1.61,0.83,1.32,-49.27,103.9,11.12
-1.42,0.57,1.1,-43.46,8.95,25.73
-1.14,0.54,0.91,6.42,-75.3,27.22
-0.94,0.63,0.7,30.65,-120.7,36.27
-0.82,0.67,0.56,55.84,-161.51,25.54
-0.77,0.73,0.41,69.53,-185.2,11.22
-0.8,0.82,0.33,69.99,-201.25,-10.03
-0.77,0.94,0.31,50.48,-212.31,-35.11
-0.71,0.9,0.21,32.91,-220.37,-47.8
-0.73,0.85,0.07,47.31,-231.55,-56.42
-0.88,1.05,0.01,62.87,-250,-69.92
-0.78,1.21,-0.02,47.9,-250,-80.25
-0.67,1.19,-0.05,25.6,-250,-81.27
-0.54,1.06,-0.02,11.04,-250,-68.69
-0.46,0.93,0,12.15,-250,-53.64
-0.33,0.74,-0.05,40.1,-250,-33.44
-0.26,0.66,-0.13,94.23,-250,-11.87
-0.46,0.88,-0.28,126.85,-250,-4.26
-0.39,1.2,-0.49,92.93,-250,-14.43
-0.09,0.92,-0.72,63.39,-250,-5.59
0.33,0.28,-1.09,148.5,-250,12.84
0.5,0.22,-1.24,249.99,-250,62.34
0.04,0.45,-1.5,249.99,-250,141.29
-0.24,0.44,-1.71,249.99,-250,181.56
-0.46,0.75,-1.53,249.99,-250,241.2
-0.37,0.91,-1.22,249.99,-250,249.99
0.27,0.83,-1.42,135.67,-250,249.99
0.26,0.95,-1.4,21.73,-164.88,134.71
-0.32,0.63,-1.43,-50.09,25.06,17.23
-0.63,0.38,-1.35,-40.84,106.53,-53.75
-0.74,0.65,-1.11,-23.13,117.16,-86.46
-0.49,0.7,-1.02,-24.31,130.78,-90.83
-0.42,0.74,-0.89,-23.47,152.95,-69.58
-0.46,0.74,-0.83,-18.55,167.29,-65.38
-0.48,0.77,-0.78,-23.25,179.63,-73.68
-0.35,0.85,-0.7,-39.31,198.89,-95.38
-0.4,0.69,-0.69,-24.51,213.85,-128.11
-0.46,0.65,-0.67,16.58,225.4,-153.45
-0.53,0.8,-0.64,44.55,236.54,-182.95
-0.41,1.17,-0.49,1.66,249.99,-188.18
-0.32,1.4,-0.4,-87.01,249.99,-184.97
-0.27,1.32,-0.38,-198.07,249.99,-173.01
-0.33,0.88,-0.5,-232.72,249.99,-166.23
-0.55,0.72,-0.57,-199.18,249.99,-171.23
-0.49,1.03,-0.41,-203.36,249.99,-208.26
-0.57,0.83,-0.56,-250,249.99,-239.81
-1.01,0.61,-0.51,-250,249.99,-250
-1.2,0.59,-0.47,-250,249.99,-229.1
-1.36,0.48,-0.39,-250,249.99,-200.34
-1.45,0.46,-0.11,-250,249.99,-164.22
-1.49,0.39,0.17,-201.68,249.99,-124.4
-1.56,0.42,0.48,-92.02,249.99,-65.5
-1.65,0.7,0.7,-22.48,226.59,5.1
-1.53,0.73,0.64,1.59,55.31,64.58
-1.43,0.7,0.5,13.24,-55.44,83.79
-1.26,0.77,0.4,7,-124.31,93.96
-1.1,0.69,0.24,12.69,-160.34,98.1
-0.98,0.71,0.15,31.31,-179.4,85.73
-0.87,0.78,0.07,45.11,-179.24,62.48
-0.81,0.82,0.04,42.35,-168.3,36.3
-0.81,0.83,0.02,38.02,-139.92,15.31
-0.86,0.86,0.08,33.29,-116.33,-4.8
-0.82,0.87,0.11,34.97,-116.24,-10.41
-0.83,0.91,0.07,49.97,-141.87,-3.4
-0.82,1.01,-0.03,65.12,-196.17,13.63
-0.78,1.11,-0.14,67.76,-250,24.06
-0.67,1.11,-0.26,58.22,-250,32.65
-0.61,1.04,-0.31,50.93,-250,38.44
-0.54,1.02,-0.34,42.02,-250,37.37
-0.36,0.92,-0.42,40.32,-250,42.56
-0.3,0.83,-0.52,62.8,-250,49.69
-0.3,0.86,-0.57,79.28,-250,55.36
-0.2,0.91,-0.62,65.56,-250,54.26
0.13,0.7,-0.8,65.73,-250,57.04
0.39,0.38,-1.05,147.65,-250,88
0.4,0.31,-1.17,249.99,-250,157.79
0.21,0.34,-1.29,249.99,-250,228.28
0.17,0.24,-1.4,249.99,-250,249.99
0,0.17,-1.45,249.99,-250,249.99
0.16,0.29,-1.38,249.99,-250,249.99
0.38,0.66,-1.3,249.99,-250,249.99
0.31,0.45,-1.32,171.69,-166.9,156.46
-0.27,0.05,-1.28,77.03,-52.67,-2.72
