0.05,-0.14,1.03,-19.79,-63.97,21.93
0.06,-0.27,0.96,-23.62,-57.46,3.3
0.06,-0.28,0.91,2.23,-51.63,-10.81
0.06,-0.18,0.81,23.77,-48.19,-20.18
0.08,-0.01,0.79,18.88,-45.46,-26.6
0.09,0.07,0.7,-10.98,-43.16,-33.61
0.13,0.06,0.62,-26.41,-35.72,-36.63
0.14,0.02,0.57,-16.78,-27.73,-35.99
0.18,-0.03,0.55,2.98,-17.52,-35.1
0.16,0.12,0.64,12.07,-10,-43.59
0.12,0.14,0.64,-18.26,-5.26,-52.02
0.12,0.13,0.62,-22.18,1.17,-58.31
0.13,0.12,0.51,-11.02,9.87,-63.22
0.15,0.24,0.53,-1.59,20.7,-66.41
0.1,0.3,0.59,-5.68,37.54,-64.66
0.11,0.33,0.57,6.1,48.65,-60.72
0.08,0.44,0.57,28.26,57.62,-54.7
0.01,0.65,0.66,42.02,74.63,-45.88
-0.07,0.84,0.82,-16.63,75.04,-33.36
-0.1,0.77,0.88,-38.5,71.06,-17.11
-0.09,0.63,0.97,-12.25,71.19,-0.77
-0.14,0.64,1.06,40.74,77.6,8.61
-0.17,0.84,1.2,63.21,81.18,16.88
-0.26,0.95,1.32,49.3,78.73,26.63
-0.33,0.85,1.43,20.58,61.08,40.4
-0.27,0.64,1.43,4.55,26.45,54.04
-0.27,0.55,1.41,3.04,20.95,55.5
-0.29,0.52,1.42,9.49,17.03,57.09
-0.32,0.48,1.42,6.31,6.51,61.35
-0.3,0.42,1.41,-0.5,-2.8,64.04
-0.27,0.28,1.43,0.24,-13.88,63.74
-0.25,0.25,1.41,1.71,-25.88,59.04
-0.21,0.24,1.38,-8.91,-31.04,54.95
-0.2,0.15,1.36,-26.14,-33.75,48.81
-0.21,0.03,1.34,-25.05,-40.65,42.88
-0.17,-0.02,1.25,-5.99,-45.05,34.65
-0.15,0.02,1.2,5.88,-47.93,27.17
-0.11,0.06,1.15,0.14,-51.78,19.36
-0.07,0.03,1.07,-6.58,-52.54,10.09
-0.07,0.03,1.01,-10.03,-52.8,0.56
-0.05,0.04,0.98,-14.32,-51.9,-7.71
-0.01,0.08,0.94,-14.73,-57.08,-13.3
0.01,0.09,0.85,-30.17,-61.33,-19.67
0.08,0.04,0.75,-39.9,-57.91,-24.92
0.12,0,0.62,-24.12,-44.89,-32.81
0.12,0.08,0.6,-15.48,-32.62,-41.31
0.13,0.16,0.64,-32.18,-28.69,-49.84
0.13,0.14,0.58,-41.38,-23.54,-53.86
0.14,0.14,0.56,-34.26,-17.56,-53.01
0.16,0.21,0.52,-12.49,-8.51,-49.51
0.15,0.28,0.54,0.45,4.85,-48.86
0.14,0.38,0.57,-4.98,14.44,-51
0.12,0.42,0.62,-17.7,20.83,-50.72
0.11,0.36,0.65,-27.56,27.85,-49.31
0.12,0.38,0.7,-8.43,33.78,-43.58
0.07,0.46,0.73,17.01,46.88,-39.81
-0.04,0.63,0.87,1.79,53.89,-24.04
-0.08,0.62,0.91,3.91,51.28,-11.47
-0.08,0.65,0.97,2.2,54.53,1.24
-0.11,0.6,1.01,7.28,56.53,6.63
-0.14,0.61,1.05,17.12,54.34,14.11
-0.16,0.63,1.13,22.38,52.19,21.35
-0.16,0.63,1.22,10.74,48.52,27.11
-0.19,0.56,1.26,2.84,43.37,29.61
-0.22,0.53,1.34,1.14,38.34,30.07
-0.25,0.47,1.39,4.82,24,39.22
-0.23,0.39,1.33,24.18,17.73,44.26
-0.25,0.45,1.34,44.08,18.4,46.53
-0.27,0.51,1.4,34.27,13.89,46.78
-0.3,0.48,1.42,8.58,1.43,49.24
-0.27,0.36,1.4,-9.3,-12.11,50.7
-0.25,0.22,1.36,-3.53,-19.41,51.31
-0.19,0.17,1.32,1,-26.77,47.51
-0.16,0.15,1.28,1.45,-31.52,40.68
-0.16,0.16,1.26,-3.96,-32.61,31.66
-0.16,0.14,1.22,-13.89,-38.59,26.66
-0.12,0.1,1.16,-12.1,-46.78,21.6
-0.08,0.05,1.04,1.46,-47.92,14.81
-0.03,0.18,1.02,5.4,-47.99,8.74
-0.02,0.22,1.03,2.49,-38.6,3.21
-0.03,0.21,1.05,-0.37,-39.08,0.92
-0.04,0.16,1,-1.74,-47.42,0.7
0.03,0.19,0.9,-9.99,-54.85,-8.35
0.05,0.17,0.84,-15.95,-49.96,-15.75
0.06,0.15,0.76,-11.99,-44.37,-19.29
0.11,0.19,0.69,-2.06,-37.18,-23.35
0.12,0.23,0.66,-20.77,-34.81,-26.49
0.13,0.29,0.72,-51.45,-36.37,-33.16
0.18,0.12,0.63,-70.76,-33.5,-38.75
0.21,0,0.61,-48.52,-21.45,-40.44
0.2,0.04,0.62,-7.18,-6.74,-45.46
0.18,0.15,0.57,6.87,3.75,-50.17
0.14,0.27,0.59,3.24,15.46,-54.31
0.12,0.36,0.63,-3.29,20.06,-54.52
0.1,0.38,0.61,-12.77,25.92,-51.06
0.09,0.45,0.66,-9.36,32.14,-42.82
0.06,0.49,0.72,-1.33,40.61,-35.94
0.02,0.51,0.78,6.55,52.41,-26.84
-0.01,0.54,0.83,25.13,56.16,-17.88
-0.04,0.63,0.9,26.21,57.59,-12.68
-0.07,0.67,1,7.89,55.5,-9.83
-0.1,0.59,1.05,-4.34,52.33,-7.25
-0.12,0.56,1.05,12.99,51.59,-0.68
-0.13,0.65,1.08,37.45,51.86,9.86
-0.18,0.73,1.16,35.45,53.92,19.31
-0.22,0.72,1.21,2.9,38.21,21.97
-0.17,0.58,1.16,2.87,32.86,29.35
-0.2,0.59,1.19,28.4,35.1,39.77
-0.23,0.69,1.3,1.06,26.89,43.86
-0.24,0.52,1.31,-19.43,16.01,43.62
-0.21,0.35,1.29,-0.06,13.82,46.88
-0.19,0.39,1.32,29.96,10.71,50.36
-0.23,0.46,1.34,33.36,5.96,50.35
-0.26,0.5,1.38,9.35,-4.35,49.96
-0.22,0.35,1.35,-17.57,-17.71,47.55
-0.2,0.24,1.27,-11.63,-29.55,45.24
-0.16,0.22,1.23,-6.23,-31.2,40.66
-0.16,0.18,1.17,-2.49,-32.94,36.39
-0.14,0.19,1.15,1.88,-33.26,30.62
-0.11,0.2,1.13,0.47,-36.19,24.7
-0.1,0.2,1.12,-6.7,-39.89,18.25
-0.07,0.22,1.09,-18.92,-46.3,13.53
-0.04,0.14,1.03,-25.34,-52.51,8.94
0.01,0.1,0.96,-17.09,-53.87,4.65
0.04,0.11,0.93,-8.61,-48.71,-1.53
0.05,0.15,0.87,-5.34,-44.72,-8.35
0.05,0.15,0.83,-8.46,-42.22,-13.21
0.07,0.22,0.83,-29.56,-45.67,-18.2
0.12,0.13,0.73,-44.64,-46.56,-23.87
0.16,0.09,0.7,-40.51,-41.22,-30.35
0.2,0.08,0.66,-29.98,-29.53,-35.37
0.17,0.1,0.67,-18.49,-13.85,-41.9
0.16,0.14,0.66,-2.75,-6.45,-44.69
