0.5, 0.27, 0.31, -5.03, -112.5, 99.4
0.42, 0.22, 0.2, -30.75, -113.56, 92.99
0.38, 0.14, 0.05, -53.63, -119.12, 83.48
0.41, 0.13, -0.02, -74.71, -115.61, 68.21
0.34, 0.08, -0.09, -101.13, -106.72, 51.31
0.29, 0.04, -0.18, -115.98, -100.47, 23.09
0.23, 0.15, -0.22, -126.35, -93.4, -4.37
0.24, 0.36, -0.23, -143.59, -80.64, -26.47
0.16, 0.45, -0.27, -155.27, -69.44, -33.37
0.11, 0.59, -0.33, -162.19, -64.43, -36.77
0.08, 0.57, -0.48, -162.32, -46.42, -48.24
0.05, 0.62, -0.55, -152.8, -26.42, -73.28
0.03, 0.76, -0.58, -140.77, -6.32, -95.09
0.04, 0.89, -0.64, -131.68, 16.36, -104.48
0.03, 1.04, -0.67, -116.09, 36.22, -105.29
0.08, 1.15, -0.72, -101.83, 66.67, -105.38
0.18, 1.31, -0.73, -94.23, 103.32, -101.93
0.26, 1.45, -0.71, -78.03, 137.49, -89.49
0.37, 1.62, -0.64, -48.28, 168.41, -72.46
0.49, 1.82, -0.47, -21.04, 191.99, -50.85
0.59, 1.95, -0.28, 3.65, 212.07, -28.62
0.62, 2.02, -0.09, 33.47, 215.74, 0.88
0.71, 1.99, 0.1, 64.09, 203.8, 37.34
0.84, 1.86, 0.28, 82.8, 191.59, 74.82
0.89, 1.59, 0.42, 99.78, 163.51, 99.85
1.07, 1.42, 0.65, 115.49, 136.7, 115.97
1.06, 1.27, 0.86, 108.76, 110.66, 140.98
1.06, 1.0, 0.94, 100.36, 57.59, 153.17
1.08, 0.8, 0.94, 103.61, 12.41, 148.34
1.09, 0.7, 0.94, 96.53, -22.09, 150.75
0.96, 0.53, 0.85, 70.69, -54.08, 151.02
0.82, 0.36, 0.7, 60.92, -82.51, 134.65
0.75, 0.31, 0.6, 57.17, -98.53, 114.17
0.7, 0.33, 0.53, 44.24, -106.41, 99.2
0.58, 0.28, 0.45, 26.1, -112.9, 89.18
0.5, 0.21, 0.37, 12.74, -119.76, 82.32
0.42, 0.14, 0.19, -2.63, -122.81, 58.27
0.37, 0.12, 0.09, -14.53, -116.23, 38.34
0.31, 0.15, -0.02, -30.01, -109.83, 21.86
0.28, 0.17, -0.14, -48.56, -107.74, 10.22
0.22, 0.18, -0.23, -68.37, -95.73, 0.54
0.22, 0.17, -0.33, -82.77, -80.15, -17.04
0.14, 0.23, -0.37, -90.52, -62.62, -37.55
0.13, 0.42, -0.37, -98.85, -49.3, -49.51
0.16, 0.61, -0.37, -111.37, -29.29, -55.31
0.14, 0.67, -0.4, -108.74, -12.29, -51.28
0.12, 0.74, -0.44, -96.2, -4.49, -37.19
0.24, 0.8, -0.46, -95.09, 9.8, -19.36
0.3, 0.82, -0.48, -103.69, 34.75, -8.0
0.34, 0.84, -0.52, -100.59, 61.41, -10.6
0.37, 0.88, -0.6, -79.31, 82.44, -14.77
0.47, 0.99, -0.66, -60.76, 106.61, -32.34
0.58, 1.18, -0.67, -43.6, 131.16, -44.27
0.75, 1.3, -0.63, -34.26, 152.97, -32.1
0.83, 1.35, -0.56, -28.79, 180.05, -11.04
0.83, 1.4, -0.45, -9.9, 198.3, -5.36
0.9, 1.57, -0.2, 20.26, 210.46, -2.14
1.01, 1.78, 0.14, 45.1, 201.62, 35.04
1.07, 1.8, 0.32, 59.68, 170.68, 76.0
1.2, 1.6, 0.41, 89.16, 135.4, 103.23
1.35, 1.18, 0.6, 112.66, 89.45, 137.79
1.36, 0.83, 0.62, 109.76, 53.83, 141.62
1.37, 0.67, 0.68, 118.29, 18.33, 126.27
1.38, 0.65, 0.79, 118.71, -15.32, 123.35
1.31, 0.57, 0.88, 100.36, -42.96, 132.43
1.1, 0.34, 0.82, 84.26, -79.61, 127.76
0.99, 0.23, 0.74, 84.79, -108.25, 99.64
0.91, 0.28, 0.72, 75.22, -120.66, 76.17
0.81, 0.28, 0.67, 55.51, -124.82, 67.89
0.63, 0.19, 0.61, 38.22, -128.51, 68.96
0.54, 0.15, 0.51, 25.84, -136.64, 69.08
0.58, 0.15, 0.45, 4.3, -129.91, 68.37
0.47, 0.07, 0.35, -31.16, -120.07, 65.71
0.42, -0.05, 0.21, -51.95, -115.16, 51.72
0.41, -0.01, 0.13, -65.27, -108.06, 37.03
0.46, 0.06, 0.12, -91.89, -93.32, 34.6
0.41, 0.08, 0.08, -129.32, -79.48, 28.68
0.32, 0.04, -0.03, -145.07, -74.91, 8.22
0.31, 0.14, -0.12, -146.78, -72.36, -9.7
0.31, 0.32, -0.17, -161.68, -63.72, -10.67
0.27, 0.43, -0.29, -170.83, -49.29, -14.12
0.35, 0.69, -0.35, -171.7, -18.02, -19.98
0.28, 0.79, -0.41, -174.46, 6.13, -19.91
0.19, 0.79, -0.52, -157.39, 21.16, -18.84
0.21, 0.86, -0.62, -129.34, 39.53, -27.72
0.29, 0.97, -0.65, -112.15, 76.04, -40.32
0.33, 0.99, -0.66, -95.98, 108.72, -42.93
0.37, 0.96, -0.63, -75.27, 140.01, -43.86
0.49, 1.06, -0.56, -56.08, 159.69, -54.72
0.59, 1.02, -0.5, -29.06, 170.49, -62.13
0.79, 1.06, -0.4, 3.68, 179.35, -49.55
1.02, 1.15, -0.32, 12.08, 187.0, -49.57
