1.01,-0.18,0.34,-5.26,108.09,10.78
0.98,-0.23,0.47,-28.84,115.38,4.97
0.97,-0.25,0.56,-42.81,107.34,-0.29
1.05,-0.23,0.58,-50.53,98.11,-5.15
1.11,-0.18,0.61,-66.46,92.09,-12.83
1.13,-0.17,0.64,-81.5,91.23,-20.1
1.1,-0.14,0.71,-92.32,88.88,-27.42
1.11,-0.11,0.75,-99.14,80.01,-32.68
1.11,-0.05,0.82,-109.29,68.4,-34.6
1.12,-0.06,0.86,-115.54,54.5,-40.73
1.14,-0.02,0.89,-113.68,41.95,-49.5
1.16,0.08,0.88,-116.18,29.29,-55.51
1.18,0.11,0.88,-124.82,17.47,-56.08
1.18,0.14,0.9,-121.94,2.88,-57.53
1.16,0.2,0.92,-120.38,-9.15,-59.6
1.13,0.25,0.96,-112.05,-26.01,-57.35
1.11,0.3,0.92,-100.75,-44.3,-56.61
1.1,0.37,0.87,-89.65,-56.87,-57
1.05,0.42,0.85,-79.77,-65.51,-55.4
1,0.44,0.82,-68.36,-76.91,-50.98
0.98,0.45,0.78,-55.32,-84.5,-47.52
0.94,0.47,0.71,-38.35,-87.9,-46.44
0.89,0.5,0.64,-18.27,-90.52,-44.54
0.83,0.7,0.54,11.8,-88.04,-24.14
0.84,0.74,0.51,7.13,-96.31,8.78
0.88,0.69,0.5,-7.15,-107.74,43.4
0.92,0.5,0.47,-8.77,-115.36,64.48
0.96,0.24,0.38,19.92,-110.53,58.41
0.98,0.18,0.3,55.79,-91.38,33.09
0.9,0.26,0.29,78.35,-74.84,10.08
0.81,0.37,0.33,78.73,-66.89,5.29
0.74,0.34,0.37,72.05,-70.58,11.52
0.7,0.23,0.37,77.58,-72.81,12.92
0.67,0.2,0.35,96.85,-68.53,7.39
0.66,0.19,0.29,105.64,-61.27,-0.31
0.64,0.18,0.29,109.25,-51.48,-2.72
0.64,0.12,0.28,110.57,-43.75,-7.35
0.65,0.06,0.23,113.29,-34.44,-16
0.65,0.05,0.22,123.38,-19.01,-22.08
0.65,0.05,0.26,125.78,-10.52,-18.64
0.63,0,0.28,118.61,-11.41,-14.19
0.71,-0.02,0.21,108.72,-14.52,-9.45
0.76,-0.07,0.13,106.4,-0.2,-11.59
0.76,-0.04,0.1,113.68,21.25,-14.35
0.74,0.05,0.14,106.4,33.72,-8.1
0.73,0.01,0.13,96.22,40.34,-1.8
0.75,0.01,0.13,96.71,51.03,-0.91
0.81,0.04,0.15,82.2,58.54,12.91
0.83,-0.08,0.15,63.15,63.94,18.6
0.78,-0.17,0.14,61.29,78.99,7.13
0.8,-0.12,0.16,68.39,97.59,-7.07
0.85,-0.04,0.2,47.65,103.02,-5.07
0.89,-0.15,0.2,25.01,106.02,-4.33
0.86,-0.16,0.25,20.91,119,-18.8
0.85,-0.1,0.36,12.44,128.2,-25.86
0.9,-0.07,0.49,-12.79,121.84,-21.14
0.98,-0.14,0.56,-35.9,119.52,-22.41
0.99,-0.22,0.64,-40.6,121.59,-34.71
0.98,-0.18,0.71,-45.09,116.48,-44.35
1.01,-0.15,0.73,-57.27,102.49,-38.88
1.03,-0.18,0.71,-77.2,91.45,-29.32
1.05,-0.24,0.72,-102.17,84.4,-28.1
1.15,-0.29,0.76,-125.03,78.18,-38.76
1.23,-0.21,0.82,-138.22,75.15,-47.35
1.21,-0.14,0.94,-147.47,68.69,-48.41
1.17,-0.09,1,-149.28,50.25,-42.94
1.17,-0.01,1.03,-151.02,29.39,-34.03
1.23,0.03,1.01,-152.93,9.49,-31.07
1.22,0.07,1.04,-152.82,-5.33,-34
1.24,0.1,1.04,-144.98,-21.97,-39.28
1.23,0.12,1.04,-132.49,-37,-46.71
1.19,0.23,1.06,-123.43,-60.07,-46.15
1.18,0.23,1.03,-115.13,-83.48,-43.93
1.12,0.25,0.95,-86.71,-103.74,-61.31
